holeid,from,to,X,Y,Z,Lithology_code,MOC_code,Structure_code,GRADE
MRCB21,448,448.5,9889.686898,11156.43314,-284.23325,2,2,0,0.06
MRCB21,454.5,455,9891.835993,11158.99733,-289.80375,2,6,1,0.29
MRCB21,457,457.5,9892.662568,11159.98355,-291.94625,2,8,1,0.01
MRCB21,475.5,476,9898.779223,11167.28162,-307.80075,3,8,0,0.02
MRCB21,480,480.5,9900.267058,11169.05682,-311.65725,2,9,0,0.58
MRCB21,483.5,484,9901.424263,11170.43754,-314.65675,2,10,0,0.04
MRCB21,489,489.5,9903.242728,11172.60723,-319.37025,4,11,1,0.1
MRCB21,496,496.5,9905.557138,11175.36866,-325.36925,7,12,0,0.04
MRCB21,500.5,501,9907.044973,11177.14387,-329.22575,8,11,0,0.18
MRCB21,508,508.5,9909.524698,11180.10254,-335.65325,1,8,0,0.03
MRCB21,513.5,514,9911.343163,11182.27224,-340.36675,8,13,0,0.1
MRCB21,520.5,521,9913.657573,11185.03367,-346.36575,8,8,0,0.07
MRCB21,529,529.5,9916.467928,11188.38683,-353.65025,9,14,2,0.03
MRCB21,535,535.5,9918.451708,11190.75377,-358.79225,10,16,0,0.01
MRCB21,540,540.5,9920.104858,11192.72622,-363.07725,11,17,0,0.08
MRCB21,546.5,547,9922.253953,11195.29041,-368.64775,4,18,0,0.1
MRCB21,552,552.5,9924.072418,11197.4601,-373.36125,12,18,0,0.3
MRCB21,558,558.5,9926.056198,11199.82704,-378.50325,13,20,0,0.21
MRCB21,563,563.5,9927.709348,11201.79949,-382.78825,11,8,0,0.1
MRCB21,580,580.5,9933.330058,11208.50582,-397.35725,8,20,2,0.33
MRCB21,575,575.5,9931.676908,11206.53337,-393.07225,15,18,0,1.29
MRCB21,587.5,588,9935.809783,11211.4645,-403.78475,2,22,2,0.88
MRCB21,592,592.5,9937.297618,11213.2397,-407.64125,2,8,0,0.02
MRCB21,598.5,599,9939.446713,11215.80389,-413.21175,11,15,0,0.01
